931052708	931055109
931076896	931078422
931078516	931079417
931080617	931083969
931084877	931085909
931087097	931090398
931091956	931094716
931125824	931126315
931127116	931131473
931131904	931132967
931134555	931139711
931150944	931153447
931155452	931155578
931157974	931158580
931160296	931168114
931172416	931173654
931174456	931177008
931178537	931191093
931212561	931215048
931218886	931220215
931242123	931245477
931250547	931252551
931257335	931260610
931261877	931268002
931270026	931271679
931275027	931275754
931283293	931285117
931290692	931291128
931292789	931292910
931317186	931319458
931321135	931330524
931331181	931338588
931340994	931351287
931351306	931354215
931357989	931358526
931365256	931377046
931386256	931404478
931413997	931415072
931418878	931424544
931426097	931431487
931431492	931432940
931434808	931435534
931436849	931436936
931439658	931439964
931443031	931443438
931446557	931457928
931461152	931467247
931468817	931470168
931471301	931472783
931479596	931480268
931483130	931483408
931484557	931488865
931491250	931493989
931499526	931500161
931532577	931540489
931572684	931575486
931576945	931577571
931582611	931586908
931587429	931592256
931600810	931615577
931617383	931619011
931657083	931657197
931658625	931659071
931660306	931663309
931664128	931666344
931667306	931673022
931673608	931674755
931685699	931686164
931699514	931699605
931704410	931706625
931712153	931712998
931722628	931725593
931729355	931732192
931735500	931748232
931755809	931757397
931757428	931761602
931765138	931775068
931775338	931776362
931776790	931777324
931778453	931785726
931788493	931789948
931793105	931795282
931806644	931807091
931811212	931811707
931814270	931816107
931817031	931819923
931819959	931822815
931826475	931832040
931836793	931842637
931842932	931843486
931845510	931846612
931851319	931856064
931857948	931859847
931862953	931873915
931876107	931878044
931882589	931882717
931883485	931885139
931886238	931888049
931906891	931913697
931914606	931941442
931949457	931953010
931954992	931956099
931972859	931979336
931983901	931985765
931988658	931991834
931998060	931998951
932001611	932003769
932010680	932011112
932014809	932015472
932017822	932025262
932033001	932038678
932041437	932047266
932049047	932055058
932058572	932060587
932062705	932074138
932081683	932090746
932094330	932106401
932107168	932108653
932108680	932109218
932109959	932112658
932115268	932122405
932123648	932130147
932132100	932133122
932144795	932146282
932148013	932149655
932160666	932161256
932163273	932164052
932172102	932178160
932187087	932191441
932196440	932202885
932205873	932214935
932269258	932269480
932270492	932284674
932288665	932289857
932293443	932308128
932311471	932312149
932316434	932317068
932319084	932319274
932320369	932320656
932323723	932324420
932345677	932345972
932348140	932356999
932359128	932361834
932362651	932365837
932370618	932373156
932379009	932382683
932388600	932389228
932392463	932396196
932399191	932399549
932408671	932411335
932417009	932417980
932418081	932418523
932419372	932419981
932420853	932421531
